year,fips,mean_une,qt_bartik_sa,statecode,date,constant,infl_reg,rp,u_sum_10,rp_sum_10,u_sum_20,rp_sum_20,u_sum_30,rp_sum_30,u_sum_40,rp_sum_40,u_sum_20_90,rp_sum_20_90,u_sum_20_95,rp_sum_20_95,infl_reg_sign,infl_reg_time_agg,d20_qt_bartik_sa,L4_d20_qt_bartik_sa,L4_rp,L4_mean_une,u_sum_var
1976,01,6.7333331,454.56113,Alabama,1976q1,1,,,71.456154,,140.12868,,241.85201,,313.89853,,62.92783,,95.093719,,,,,,,,313.89853
1976,01,6.4666667,455.12738,Alabama,1976q2,1,,,71.345505,,142.92181,,246.73985,,316.93533,,63.654099,,96.59581,,,,,,,,316.93533
1976,01,6.7666669,455.3522,Alabama,1976q3,1,,,71.804565,,146.53059,,251.30537,,320.13834,,64.834351,,98.684677,,,,,,,,320.13834
1976,01,7.1666665,455.3089,Alabama,1976q4,1,,,72.266693,,150.82698,,255.29343,,322.95911,,65.954247,,100.98594,,,,,,,,322.95911
1977,01,7.6666665,455.42142,Alabama,1977q1,1,,,72.329445,,155.58063,,258.67117,,325.00308,,66.875725,,103.34574,,,,,,,6.7333331,325.00308
1977,01,7.7666669,456.07355,Alabama,1977q2,1,,,71.827477,,160.55882,,261.15878,,325.98276,,67.445335,,105.60218,,,,,,,6.4666667,325.98276
1977,01,7.1333332,456.29901,Alabama,1977q3,1,,,71.520905,,166.30421,,263.20071,,326.53687,,68.088699,,108.23059,,,,,,,6.7666669,326.53687
1977,01,6.6999998,456.40448,Alabama,1977q4,1,,,72.96637,,173.40172,,265.45917,,327.60254,,69.604523,,111.9508,,,,,,,7.1666665,327.60254
1978,01,6.3666668,456.56693,Alabama,1978q1,1,,,75.647934,,180.79048,,267.88226,,328.89368,,71.737823,,116.22734,,,,,,,7.6666665,328.89368
1978,01,6.0333333,457.57465,Alabama,1978q2,1,,,78.693291,,187.82721,,270.64185,,330.46762,,74.365059,,120.74528,,,,,,,7.7666669,330.46762
1978,01,6.2333331,457.81207,Alabama,1978q3,1,,,82.166412,,194.6447,,274.30853,,332.52805,,77.561378,,125.57702,,,,,,,7.1333332,332.52805
1978,01,6.5999999,458.01157,Alabama,1978q4,1,,,85.743904,,200.53833,,278.15536,,334.54099,,80.773087,,130.10602,,,,,,,6.6999998,334.54099
1979,01,6.9333334,458.18201,Alabama,1979q1,1,,,89.559921,,205.41228,,281.52274,,336.02554,,83.828903,,134.17671,,,,,,,6.3666668,336.02554
1979,01,7.2666669,458.27628,Alabama,1979q2,1,,,94.132912,,209.64433,,284.4642,,337.18835,,86.801163,,137.95544,,,,,,,6.0333333,337.18835
1979,01,7.2666669,458.05746,Alabama,1979q3,1,,,99.319778,,213.3098,,286.65479,,338.00394,,89.69281,,141.46268,,,,,,,6.2333331,338.00394
1979,01,7.1999998,457.91641,Alabama,1979q4,1,,,105.31269,,216.54883,,288.22644,,338.62704,,92.836823,,144.95135,,,,,,,6.5999999,338.62704
1980,01,7.5333333,457.83398,Alabama,1980q1,1,,,112.33784,,219.47896,,289.51147,,339.25693,,96.343475,,148.51463,,,,,,,6.9333334,339.25693
1980,01,8.7666664,456.75891,Alabama,1980q2,1,,,119.82077,,221.61124,,290.32489,,339.51181,,99.796448,,151.6994,,,,,,,7.2666669,339.51181
1980,01,9.6333332,456.02927,Alabama,1980q3,1,,,125.89233,,222.19211,,289.65408,,338.61273,,102.21406,,153.6102,,,,,,,7.2666669,338.61273
1980,01,9.6333332,456.46396,Alabama,1980q4,1,,,130.30569,,221.87611,,288.02713,,337.05212,,103.93331,,154.69733,,,,,,,7.1999998,337.05212
1981,01,9.6999998,456.47958,Alabama,1981q1,1,,,134.0703,,222.15678,,286.53171,,335.67642,,105.93273,,156.10454,,,,1.918457,,,7.5333333,335.67642
1981,01,10,456.34186,Alabama,1981q2,1,,,136.93134,,222.75464,,285.10178,,334.26416,,108.13697,,157.68295,,,,1.2144775,,,8.7666664,334.26416
1981,01,10.633333,456.59738,Alabama,1981q3,1,,,138.73444,,222.89186,,283.1571,,332.37842,,110.22849,,158.95695,,,,1.2451782,,,9.6333332,332.37842
1981,01,11.8,455.91608,Alabama,1981q4,1,,,139.52412,,222.25446,,280.55304,,329.92316,,111.8284,,159.57159,,,,.60717773,,,9.6333332,329.92316
1982,01,12.8,454.9202,Alabama,1982q1,1,,,138.8419,,219.94144,,276.7196,,326.42072,,112.23687,,158.77541,,,,-.5012207,1.918457,,9.6999998,326.42072
1982,01,13.633333,454.17905,Alabama,1982q2,1,,,136.63019,,215.88608,,271.61542,,321.93961,,111.47421,,156.57402,,,,-1.8945007,1.2144775,,10,321.93961
1982,01,14.633333,453.49445,Alabama,1982q3,1,,,133.10219,,210.53905,,265.54395,,316.48239,,109.64014,,153.20032,,,,-2.8045654,1.2451782,,10.633333,316.48239
1982,01,15.433333,452.68649,Alabama,1982q4,1,,,127.98582,,203.96437,,258.35181,,309.84848,,106.46685,,148.52475,,,,-3.7179871,.60717773,,11.8,309.84848
1983,01,15.166667,452.48801,Alabama,1983q1,1,,,121.64795,,196.24252,,250.37747,,302.40634,,102.01154,,142.64146,,,,-4.0789185,-.5012207,,12.8,302.40634
1983,01,14.233334,452.892,Alabama,1983q2,1,,,115.48526,,188.63022,,242.83853,,295.18063,,97.345337,,136.69341,,,,-4.6826477,-1.8945007,,13.633333,295.18063
1983,01,13.466666,453.51227,Alabama,1983q3,1,,,110.86632,,182.04747,,236.38815,,288.71326,,93.222023,,131.48643,,,,-4.2998047,-2.8045654,,14.633333,288.71326
1983,01,12.5,454.022,Alabama,1983q4,1,,,107.39715,,176.33607,,230.69626,,282.70963,,89.516716,,126.88412,,,,-3.989563,-3.7179871,,15.433333,282.70963
1984,01,11.633333,454.48474,Alabama,1984q1,1,,,104.68851,,171.32541,,225.75078,,277.37653,,86.441383,,122.96155,,,,-3.6972656,-4.0789185,,15.166667,277.37653
1984,01,11.2,454.7496,Alabama,1984q2,1,,,102.67719,,167.13953,,221.72939,,272.53052,,83.987312,,119.74478,,,,-3.5266724,-4.6826477,,14.233334,272.53052
1984,01,10.866667,454.72568,Alabama,1984q3,1,,,100.54065,,163.32182,,218.27766,,267.98404,,81.737976,,116.80293,,,,-3.3317871,-4.2998047,,13.466666,267.98404
1984,01,10.3,454.48862,Alabama,1984q4,1,,,97.935425,,159.55688,,215.20175,,263.70609,,79.572624,,113.94955,,,,-3.4277954,-3.989563,,12.5,263.70609
1985,01,9.8000002,454.28708,Alabama,1985q1,1,,,95.424072,,156.24452,,212.56856,,259.95728,,77.784134,,111.50664,,,,-3.5469055,-3.6972656,,11.633333,259.95728
1985,01,9.1999998,454.06723,Alabama,1985q2,1,,,93.211533,,153.34918,,210.29047,,256.76477,,76.344398,,109.43758,,,,-2.6916809,-3.5266724,,11.2,256.76477
1985,01,8.8000002,453.83621,Alabama,1985q3,1,,,91.28125,,151.13974,,208.66946,,254.10159,,75.427544,,107.93899,,,,-2.1930542,-3.3317871,,10.866667,254.10159
1985,01,8.7666664,453.77863,Alabama,1985q4,1,,,89.645065,,149.58466,,207.46074,,251.54793,,74.893814,,106.90209,,,,-2.6853333,-3.4277954,,10.3,251.54793
1986,01,9.5,453.80026,Alabama,1986q1,1,,,88.206909,,148.29291,,206.15025,,248.84608,,74.374268,,105.95324,,,,-2.6793213,-3.5469055,,9.8000002,248.84608
1986,01,9.9666662,453.56799,Alabama,1986q2,1,,,86.194351,,146.3019,,203.81448,,245.30925,,72.990295,,104.20644,,,,-2.7738647,-2.6916809,,9.1999998,245.30925
1986,01,9.7666664,453.32913,Alabama,1986q3,1,,,83.448914,,143.62854,,200.71255,,241.08691,,70.905655,,101.79278,,,,-3.2682495,-2.1930542,,8.8000002,241.08691
1986,01,9.6000004,453.44565,Alabama,1986q4,1,,,80.877777,,141.23926,,197.41148,,237.1132,,68.827812,,99.510452,,,,-2.4704285,-2.6853333,,8.7666664,237.1132
1987,01,9,453.52872,Alabama,1987q1,1,,,78.418877,,139.18507,,194.14679,,233.26772,,66.732666,,97.367081,,,,-1.3914795,-2.6793213,,9.5,233.26772
1987,01,8.1333332,453.66296,Alabama,1987q2,1,,,76.269867,,137.79793,,191.43047,,229.94475,,65.083557,,95.778313,,,,-.51608276,-2.7738647,,9.9666662,229.94475
1987,01,7.6333332,453.78152,Alabama,1987q3,1,,,74.88414,,137.16316,,189.56216,,227.39679,,64.19796,,94.970421,,,,.28707886,-3.2682495,,9.7666664,227.39679
1987,01,7.4333334,454.05688,Alabama,1987q4,1,,,73.929184,,136.89073,,188.27867,,225.06055,,63.749249,,94.586555,,,,1.3703918,-2.4704285,,9.6000004,225.06055
1988,01,7.0999999,454.0455,Alabama,1988q1,1,,,73.28717,,136.89935,,187.13493,,222.65744,,63.485046,,94.428894,,,,1.5574951,-1.3914795,,9,222.65744
1988,01,7,454.04202,Alabama,1988q2,1,,,73.276848,,137.27202,,186.02045,,220.61139,,63.565933,,94.625748,,,,1.1500244,-.51608276,,8.1333332,220.61139
1988,01,7.1999998,454.12994,Alabama,1988q3,1,,,73.638733,,137.61314,,184.8231,,218.75714,,63.746662,,94.878479,,,,.61767578,.28707886,,7.6333332,218.75714
1988,01,7.4000001,454.31619,Alabama,1988q4,1,,,73.862549,,137.4558,,183.33771,,216.70448,,63.680664,,94.802521,,,,.29418945,1.3703918,,7.4333334,216.70448
1989,01,7.1333332,454.26089,Alabama,1989q1,1,3.6052203,100.27294,73.675583,1047.8362,136.79494,1926.3887,181.43796,2736.5298,214.47359,3482.3689,63.340527,895.69019,94.380615,1331.0941,-3.6052203,-.90130508,-.22384644,1.5574951,,7.0999999,214.47359
1989,01,7.1333332,454.18008,Alabama,1989q2,1,3.7851779,99.930817,73.876686,1049.0532,135.98782,1929.7626,179.88712,2740.7639,212.62344,3488.3369,63.198105,896.46149,94.037964,1332.9447,-3.7851779,-.94629449,-.56951904,1.1500244,,7,212.62344
1989,01,7.0999999,454.05707,Alabama,1989q3,1,4.1183839,99.94561,74.290833,1050.811,135.06349,1933.171,178.32056,2745.5007,210.77681,3494.8066,63.023655,897.64752,93.629463,1335.1012,-4.1183839,-1.029596,-.66860962,.61767578,,7.1999998,210.77681
1989,01,6.8000002,453.95535,Alabama,1989q4,1,3.4187784,99.414085,74.833267,1053.3206,134.13622,1936.1997,176.7225,2750.7119,208.92288,3500.8254,62.862801,898.88928,93.222626,1337.1809,-3.4187784,-.8546946,-.53326416,.29418945,,7.4000001,208.92288
1990,01,6.6999998,453.86386,Alabama,1990q1,1,2.8216636,99.141518,75.563622,1056.2542,133.50261,1940.1932,175.33737,2756.6814,207.26405,3507.1724,63.017399,900.91888,93.110153,1340.1039,-2.8216636,-.7054159,-.42321777,-.22384644,100.27294,7.1333332,207.26405
1990,01,6.6333332,453.72409,Alabama,1990q2,1,2.7925549,99.776527,76.25164,1059.2045,133.07268,1945.115,173.74342,2762.7637,205.60037,3514.4358,63.316513,903.56763,93.144814,1343.7361,-2.7925549,-.69813871,-.34313965,-.56951904,99.930817,7.1333332,205.60037
1990,01,6.7666669,453.65253,Alabama,1990q3,1,3.2238741,99.830605,77.104393,1061.7332,132.65123,1949.9778,171.92947,2768.5308,203.98721,3521.5908,63.714821,905.8847,93.227577,1347.1244,-3.2238741,-.80596852,-.1836853,-.66860962,99.94561,7.0999999,203.98721
1990,01,7.0999999,453.20193,Alabama,1990q4,1,4.2083921,99.457649,77.861214,1064.9257,131.76367,1954.9998,170.01181,2775.0774,202.26761,3528.2363,63.960617,908.42334,93.030952,1350.7064,-4.2083921,-1.052098,-.57669067,-.53326416,99.414085,6.8000002,202.26761
1991,01,7.4000001,452.25909,Alabama,1991q1,1,4.7186561,100.15931,78.13826,1068.7867,130.3396,1960.3809,167.86142,2782.4363,200.30553,3535.446,63.834972,911.64832,92.389473,1354.8395,-4.7186561,-1.179664,-1.5411682,-.42321777,99.141518,6.6999998,200.30553
1991,01,7.4666667,452.02515,Alabama,1991q2,1,6.6559582,101.48207,77.783455,1071.6746,128.51631,1965.2795,165.4109,2788.7583,198.08745,3542.3799,63.34988,914.47778,91.362587,1358.5267,-6.6559582,-1.6639895,-1.5428467,-.34313965,99.776527,6.6333332,198.08745
1991,01,7.2333331,452.15179,Alabama,1991q3,1,6.606585,102.03159,77.026138,1073.4714,126.38918,1969.2664,162.91757,2793.9607,196.02484,3548.7705,62.704395,916.20728,90.11586,1361.1801,-6.606585,-1.6516463,-1.1773376,-.1836853,99.830605,6.7666669,196.02484
1991,01,7.3666668,452.10236,Alabama,1991q4,1,4.4304872,101.63697,76.044647,1075.4617,124.58528,1972.208,160.78271,2798.8201,194.62312,3553.9216,62.262657,917.43976,89.096939,1363.1622,-4.4304872,-1.1076218,-1.3432922,-.57669067,99.457649,7.0999999,194.62312
1992,01,7.5999999,451.69733,Alabama,1992q1,1,3.0916026,101.8392,74.797997,1077.4885,122.62849,1975.7035,158.51627,2804.2314,193.20636,3559.7314,61.623692,919.26636,87.884056,1365.719,-3.0916026,-.77290064,-1.8313904,-1.5411682,100.15931,7.4000001,193.20636
1992,01,7.6999998,451.73355,Alabama,1992q2,1,1.7929357,102.66728,73.272919,1078.891,120.36174,1979.5192,155.9666,2808.9407,191.45041,3565.0503,60.646362,921.14368,86.337799,1368.4122,-1.7929357,-.44823393,-1.9294128,-1.5428467,101.48207,7.4666667,191.45041
1992,01,7.5666666,451.74005,Alabama,1992q3,1,1.1991853,102.51441,71.631409,1079.9103,117.88926,1982.7233,153.1915,2812.5615,189.50879,3569.7627,59.437183,922.33746,84.569054,1370.4569,-1.1991853,-.29979631,-2.0414734,-1.1773376,102.03159,7.2333331,189.50879
